Subject,Age,GoAcc,GoRT,NoGoAcc,NoGoRT,LowGoAcc,LowGoRT,LowRTVar,HighGoAcc,HighGoRT,HighRTVar,LowNoGoAcc,LowNoGoRT,HighNoGoAcc,HighNoGoRT,GoAccDiff,Dprime,LowDprime,HighDprime
Sub033,15.9835729,0.953125,0.47457541,0.765625,0.43838,0.90625,0.481982759,0.076246123,1,0.4678625,0.067172298,0.78125,0.447785714,0.75,0.43015,0.09375,2.400454106,2.094432658,3.092048766
Sub034,16.43531828,1,0.481958594,0.96875,0.41735,1,0.479629688,0.069191158,1,0.4842875,0.070867479,0.96875,0.3671,0.96875,0.4676,0,4.522799336,4.280290884,4.280290884
Sub035,16.58863792,0.953125,0.521847541,0.90625,0.419916667,0.96875,0.537156452,0.144273117,0.9375,0.506028333,0.0923438,0.9375,0.39245,0.875,0.43365,-0.03125,2.99395062,3.396852412,2.684469925
Sub036,16.62970568,1,0.467067188,0.765625,0.434986667,1,0.47529375,0.067566482,1,0.458840625,0.053008908,0.78125,0.423542857,0.75,0.445,0,3.384581852,3.193980777,3.092048766
Sub037,16.66529774,0.9921875,0.530027559,0.953125,0.429833333,1,0.53044375,0.084221105,0.984375,0.529604762,0.082407578,1,nan,0.90625,0.429833333,-0.015625,4.093498739,4.57143371,3.471885591
Sub038,16.6844627,0.9921875,0.433114961,0.765625,0.381773333,1,0.431025,0.08368314,0.984375,0.435238095,0.07019152,0.78125,0.361485714,0.75,0.399525,-0.015625,3.1420734,3.193980777,2.828364444
Sub039,16.7063655,0.953125,0.536353279,0.84375,0.4479,0.984375,0.538542857,0.158108958,0.921875,0.534015254,0.111402433,0.84375,0.4206,0.84375,0.4752,-0.0625,2.685929892,3.163864863,2.427787307
Sub040,16.73921971,0.9921875,0.411568504,0.421875,0.393956757,1,0.402171875,0.0660843,0.984375,0.421114286,0.095830202,0.40625,0.377684211,0.4375,0.411133333,-0.015625,2.220459932,2.180356907,1.996564009
Sub041,16.74469541,0.9921875,0.545366929,0.90625,0.5077,1,0.554740625,0.076015324,0.984375,0.535844444,0.081718713,0.9375,0.45785,0.875,0.532625,-0.015625,3.735569914,3.951679561,3.304224074
Sub042,16.74743326,1,0.491689844,0.9375,0.527825,1,0.493604687,0.054357697,1,0.489775,0.05289911,0.90625,0.542,0.96875,0.4853,0,4.194188013,3.735569914,4.280290884
